item_id,name,store_name,category_name
5681,"Atish-E-Chaap","Dolce Bistro and Patissiere","Tandoori"
5679,"Bharwan Truffle Mushroom Tikka","Dolce Bistro and Patissiere","Tandoori"
5671,"Cheesy French Fries","Dolce Bistro and Patissiere","Fries"
5654,"Chilli Basil Spring Rolls","Dolce Bistro and Patissiere","Rolls"
5668,"Crispy Garlic Onion Rings","Dolce Bistro and Patissiere","Fast Food"
5669,"Delhi Chaat Fries","Dolce Bistro and Patissiere","Fries"
5700,"Desi Delight Soya","Dolce Bistro and Patissiere","Salad  Raita Papad`s"
5673,"Dolce Parmesan Smoked Paneer","Dolce Bistro and Patissiere","abc"
5674,"Dolce Parmesan Smoked Tofu","Dolce Bistro and Patissiere","abc"
5677,"Harissa Butter Garlic Mushroom","Dolce Bistro and Patissiere","Mushroom Specials"
5652,"Honey Chilly Potato Wedge","Dolce Bistro and Patissiere","Chinese"
5676,"Hummus Platter","Dolce Bistro and Patissiere","Starters"
5667,"Jalapenos Cheese Poppers","Dolce Bistro and Patissiere","Fast Food"
5666,"Jalapenos Mozzarella Cigars","Dolce Bistro and Patissiere","Fast Food"
5659,"Kung Pao Tofu","Dolce Bistro and Patissiere","Starters"
5657,"Kung Pao Veggie","Dolce Bistro and Patissiere","Starters"
5675,"Paneer in Red Wine Sauce","Dolce Bistro and Patissiere","abc"
5665,"Paneer Satay","Dolce Bistro and Patissiere","Paneer"
5656,"Paneer Shawarma Pita Pockets","Dolce Bistro and Patissiere","Paneer"
5670,"Peri Peri Fries","Dolce Bistro and Patissiere","Fries"
5680,"Pickled Chilli Tandoori Aloo","Dolce Bistro and Patissiere","Tandoori"
5682,"Reshmi Lehsuni Soya Tikka","Dolce Bistro and Patissiere","Tandoori"
5678,"Saffron Cheese Paneer Tikka","Dolce Bistro and Patissiere","Tandoori"
5653,"Salt 'N' Pepper Crispy Baby Corn","Dolce Bistro and Patissiere","Starters"
5771,"Soya Afhani Biryani","Dolce Bistro and Patissiere","Biryani"
5660,"Spring Paneer Chilly","Dolce Bistro and Patissiere","Starters"
5663,"Tex Mex Cheesy Nachos","Dolce Bistro and Patissiere","Fast Food"
5672,"Truffile and Parmensan Fries","Dolce Bistro and Patissiere","Fries"
5655,"Vegetable Spring Rolls","Dolce Bistro and Patissiere","Rolls"
